month,tweets,tweet impressions,profile visits,mentions,new followers
2016-05,6,5833,729,38,0
2016-06,2,3311,638,6,0
2016-07,6,5072,527,4,17
2016-08,26,13800,1172,30,47
2016-09,12,20400,912,20,52
2016-10,8,9609,608,4,30
2016-11,6,8393,541,36,23
2016-12,4,4156,454,21,15
2017-01,3,12300,509,7,27
2017-02,8,8713,516,6,27
2017-03,2,8371,392,3,32
2017-04,2,7758,1132,26,132
2017-05,13,22300,1481,25,610
2017-06,6,12800,670,21,33
2017-07,14,22800,663,58,51
2017-08,14,31700,593,12,53
2017-09,12,46000,682,18,60
